#{"t_start": 1699932021.0722895, "env_id": null}
r,l,t
443.834552,300,4259.967664
468.990885,300,4261.103252
448.998412,300,4262.241284
463.882673,300,4263.364211
398.559889,300,4264.501186
491.728185,300,4265.628395
491.287823,300,4268.544278
399.472048,300,4269.679859
414.918943,300,4270.812102
490.383059,300,4271.936975
458.728262,300,4273.083327
485.490167,300,4274.173448
502.845839,300,4275.292834
393.872824,300,4278.100628
452.075178,300,4279.242472
484.678756,300,4280.381204
503.144677,300,4281.511646
502.678307,300,4282.632746
444.38084,300,4283.725627
521.812131,300,4286.413063
375.457214,300,4287.52435
442.673319,300,4288.64795
456.837062,300,4289.770153
502.659978,300,4290.916361
421.581268,300,4292.056731
478.41681,300,4293.191474
499.785969,300,4296.136941
365.359333,300,4297.266326
453.521261,300,4298.390766
434.668878,300,4299.533556
442.700328,300,4300.640364
449.114051,300,4301.767114
520.888334,300,4302.879579
367.548638,300,4305.709059
490.024036,300,4306.831544
466.972349,300,4307.95547
547.86069,300,4309.076196
444.858152,300,4310.222014
430.391507,300,4311.348574
392.963325,300,4312.484121
479.090221,300,4315.34232
487.164278,300,4316.46619
477.503954,300,4317.602281
518.116055,300,4318.726689
494.553559,300,4319.844333
468.364242,300,4320.986871
399.267866,300,4322.121134
493.263391,300,4324.962106
522.378008,300,4326.099464
440.417857,300,4327.208624
455.064317,300,4328.347498
454.035392,300,4329.47448
523.438507,300,4330.596098
427.53694,300,4331.716249
446.790783,300,4334.38858
384.064907,300,4335.513446
439.089277,300,4336.649963
364.787428,300,4337.774485
445.533505,300,4338.856381
463.843947,300,4339.977992
415.250849,300,4342.786925
410.344776,300,4343.921849
535.462689,300,4345.04468
540.130804,300,4346.195137
358.444558,300,4347.319424
490.436275,300,4348.467029
471.454381,300,4349.60519
466.836192,300,4352.485304
369.806382,300,4353.608988
421.695763,300,4354.743371
495.98867,300,4355.862947
510.428705,300,4357.00174
385.613719,300,4358.161072
518.490553,300,4359.294297
340.011969,300,4362.146382
437.548672,300,4363.266888
481.219236,300,4364.41959
429.768647,300,4365.555753
451.958762,300,4366.690645
489.957857,300,4367.829008
421.252907,300,4368.980958
433.561681,300,4371.89127
431.826942,300,4373.030234
296.319312,300,4374.161313
420.866627,300,4375.324785
337.949414,300,4376.450429
418.875363,300,4377.585899
415.992872,300,4378.734473
565.539695,300,4381.735663
439.052892,300,4382.857073
427.423207,300,4383.994041
381.516646,300,4385.130034
444.322744,300,4386.247791
366.133862,300,4387.381057
412.637171,300,4388.48422
526.951774,300,4391.304029
434.910403,300,4392.3908
526.099631,300,4393.497214
348.207008,300,4394.620227
508.794462,300,4395.75687
281.716917,300,4396.909513
431.139343,300,4399.63915
415.710206,300,4400.775838
524.022151,300,4401.912796
464.808215,300,4403.05077
430.272963,300,4404.186045
470.921927,300,4405.32218
494.393463,300,4406.457469
492.125949,300,4409.405411
447.392643,300,4410.540263
530.45707,300,4411.67849
424.630024,300,4412.81743
496.432361,300,4413.920648
442.163032,300,4415.05944
417.219243,300,4416.182727
522.593625,300,4419.049886
531.068214,300,4420.202726
409.47389,300,4421.342466
421.322112,300,4422.481681
430.805076,300,4423.60535
420.848282,300,4424.748661
397.122387,300,4425.884304
467.716202,300,4428.828472
504.921583,300,4429.963475
446.5299,300,4431.101468
451.039026,300,4432.252701
487.996025,300,4433.390431
291.563867,300,4434.529334
414.511707,300,4435.639176
433.948348,300,4438.593549
458.804821,300,4439.732736
495.87728,300,4440.853832
484.314008,300,4442.016715
440.107934,300,4443.183046
386.718872,300,4444.306441
440.877373,300,4447.153141
421.168721,300,4448.288995
420.921476,300,4449.408495
469.544736,300,4450.534639
431.351955,300,4451.670438
355.706712,300,4452.776762
489.561878,300,4453.912401
459.927073,300,4456.610711
448.998136,300,4457.747348
466.479173,300,4458.877441
446.217456,300,4460.014949
535.402813,300,4461.165651
449.688539,300,4462.301979
450.85808,300,4463.439438
418.523781,300,4466.363268
481.493025,300,4467.500607
477.354471,300,4468.614335
501.303008,300,4469.732713
463.220515,300,4470.87201
530.325411,300,4472.010399
453.118261,300,4473.126098
489.251296,300,4475.879906
488.27252,300,4477.002366
476.215359,300,4478.138903
443.227864,300,4479.27602
492.075556,300,4480.416072
511.08286,300,4481.553238
554.671607,300,4482.661479
442.072797,300,4485.585492
465.245981,300,4486.706654
348.855976,300,4487.843118
459.274714,300,4488.979624
441.116749,300,4490.10925
498.991753,300,4491.26622
462.278828,300,4492.403278
511.323246,300,4495.134931
505.540312,300,4496.284943
348.100065,300,4497.424436
475.953962,300,4498.519475
532.370407,300,4499.65937
414.748827,300,4500.774781
509.183182,300,4503.661055
447.217036,300,4504.784155
496.931199,300,4505.923252
442.900555,300,4507.062588
474.367026,300,4508.191643
369.668343,300,4509.326709
493.879507,300,4510.451818
493.76279,300,4513.436642
444.325403,300,4514.572061
327.497778,300,4515.709039
444.433935,300,4516.851144
419.302002,300,4517.987554
457.685367,300,4519.126525
423.675684,300,4520.260184
470.874336,300,4523.163656
504.295895,300,4524.301071
473.783155,300,4525.445383
485.668557,300,4526.583537
464.00602,300,4527.709046
490.131207,300,4528.833111
438.684708,300,4529.956684
477.384212,300,4532.855732
403.78658,300,4533.975796
435.368549,300,4535.116187
458.221494,300,4536.250656
406.903897,300,4537.363331
374.931465,300,4538.467244
421.204659,300,4539.609277
433.034076,300,4542.546182
395.138599,300,4543.6674
439.691306,300,4544.804691
523.891743,300,4545.927659
366.410297,300,4547.03457
423.855148,300,4548.171767
478.455032,300,4549.308102
380.892326,300,4552.266348
513.531259,300,4553.391656
431.826838,300,4554.529096
442.617408,300,4555.649397
427.553035,300,4556.776377
430.408095,300,4557.908581
415.689828,300,4560.639034
452.798033,300,4561.750077
462.985498,300,4562.884277
486.289331,300,4564.006665
395.467284,300,4565.142958
459.913637,300,4566.255404
490.287806,300,4567.376105
481.453648,300,4570.288622
421.880229,300,4571.427025
390.206603,300,4572.570615
401.551135,300,4573.680651
487.261537,300,4574.824112
445.133214,300,4575.960895
511.369471,300,4577.100022
408.125533,300,4579.999219
392.381285,300,4581.126256
352.638195,300,4582.235431
500.841398,300,4583.376205
492.504939,300,4584.512313
365.497759,300,4585.634521
393.199256,300,4586.756226
416.306151,300,4589.725468
448.478844,300,4590.869844
506.369988,300,4592.030449
393.925159,300,4593.155509
400.986267,300,4594.278313
400.797662,300,4595.415203
512.521124,300,4596.540452
495.092268,300,4599.517756
410.195151,300,4600.644585
452.754752,300,4601.767021
410.429994,300,4602.895384
390.377312,300,4604.033023
394.437984,300,4605.148782
469.310127,300,4606.286524
396.988268,300,4609.292069
407.20999,300,4610.431166
442.083083,300,4611.569221
437.242264,300,4612.710047
416.031407,300,4613.846737
386.749505,300,4614.969059
463.348691,300,4617.934469
387.468273,300,4619.072351
416.038939,300,4620.212662
412.807112,300,4621.335014
418.325974,300,4622.457
365.287749,300,4623.582957
386.494532,300,4624.71173
411.919511,300,4627.632175
383.934375,300,4628.741539
397.706193,300,4629.877174
365.010859,300,4630.97848
297.630405,300,4632.115474
457.302671,300,4633.239088
504.046518,300,4634.380245
418.836255,300,4637.306981
388.678532,300,4638.433161
473.058797,300,4639.558219
534.92479,300,4640.674806
459.749773,300,4641.824037
472.392887,300,4642.94646
457.984253,300,4644.084231
422.817179,300,4647.028556
469.363235,300,4648.170073
337.194833,300,4649.279093
536.800136,300,4650.405317
341.051323,300,4651.473983
455.135004,300,4652.581212
414.619854,300,4653.707889
355.731696,300,4656.579055
448.09489,300,4657.714924
443.561959,300,4658.865301
481.797656,300,4659.986167
426.796173,300,4661.124908
576.70968,300,4662.247712
408.894467,300,4665.221879
430.482674,300,4666.355718
357.773581,300,4667.485224
329.219058,300,4668.588554
451.179957,300,4669.718653
401.48209,300,4670.843854
414.924272,300,4671.976733
491.097314,300,4674.880963
421.433796,300,4676.014628
484.905855,300,4677.122591
379.138891,300,4678.228968
485.919619,300,4679.339312
484.828788,300,4680.43253
433.045933,300,4681.542082
413.878443,300,4684.337048
491.094516,300,4685.468113
444.846546,300,4686.59284
458.121787,300,4687.720841
418.075572,300,4688.826132
402.094683,300,4689.945156
396.383354,300,4691.077132
432.221815,300,4694.001165
379.180281,300,4695.130327
389.810144,300,4696.264678
487.525835,300,4697.37468
483.755473,300,4698.464799
451.533688,300,4699.582078
442.402654,300,4700.72029
422.55545,300,4703.577674
455.721107,300,4704.69142
544.683773,300,4705.826132
484.810505,300,4706.959524
401.925368,300,4708.076264
389.098912,300,4709.193646
386.433614,300,4710.314736
384.245251,300,4713.36459
465.228502,300,4714.428268
445.185696,300,4715.544858
528.554228,300,4716.680278
516.633218,300,4717.805415
536.979376,300,4718.944446
426.169639,300,4721.88884
462.389777,300,4723.027883
508.290491,300,4724.168545
464.749704,300,4725.313561
360.983129,300,4726.453459
489.692219,300,4727.561846
493.65857,300,4728.671335
449.23001,300,4731.695209
354.099079,300,4732.806977
