rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/value_loss,train/loss,train/std,train/approx_kl
300.0,280,360.36324336999996,577,161792,79,-10.646860551834106,0.0003,0.275927734375,780,0.20085597038269043,-0.005137123379245168,0.2,175.20121517181397,97.52323913574219,0.9153385162353516,0.03397035
300.0,280,362.35437267000003,584,163840,80,-10.643314269185066,0.0003,0.38212890625,790,0.5346865653991699,0.008660087321186439,0.2,152.09512484669685,44.29181671142578,0.9175002574920654,0.057039514
300.0,280,361.25870862000005,591,165888,81,-10.662124049663543,0.0003,0.17822265625,800,0.12887448072433472,-0.00843738935654983,0.2,174.11838830709456,34.607479095458984,0.9192956686019897,0.01930591
300.0,280,365.41934134999997,599,167936,82,-10.683812722563744,0.0003,0.273583984375,810,0.1384161114692688,-0.003409623689367436,0.2,139.35841943025588,64.4271240234375,0.922344982624054,0.03418451
300.0,280,369.73828242,606,169984,83,-10.692457181215286,0.0003,0.160595703125,820,0.3605353832244873,-0.012276870015193708,0.2,152.6833474814892,73.14671325683594,0.921469509601593,0.026885122
300.0,280,366.9103451900001,613,172032,84,-10.672605031728745,0.0003,0.18896484375,830,0.05410963296890259,-0.009667694849485996,0.2,194.47233844995498,53.30586242675781,0.9176790714263916,0.027366862
300.0,280,367.30663016,621,174080,85,-10.651346772909164,0.0003,0.21435546875,840,0.652782678604126,-0.00794446412473917,0.2,123.28915046453476,43.45913314819336,0.9165799617767334,0.026477894
300.0,280,370.0703660000001,628,176128,86,-10.661130639910699,0.0003,0.25673828125,850,0.0697486400604248,0.0012484345454140567,0.2,179.04817103147508,55.93243408203125,0.918792724609375,0.044597
300.0,280,366.86535988,635,178176,87,-10.664826732873916,0.0003,0.14169921875,860,0.6916668117046356,-0.0105504907987779,0.2,164.11170101761817,60.92942810058594,0.9188026189804077,0.018936316
300.0,280,368.17460429,642,180224,88,-10.673553425073624,0.0003,0.268212890625,870,0.4646448493003845,-0.00973796367397881,0.2,152.6230423629284,17.858570098876953,0.9193999171257019,0.041101124
300.0,280,367.60998315000006,650,182272,89,-10.677203157544136,0.0003,0.297119140625,880,0.610512912273407,-0.009736362742842175,0.2,169.95555718541146,63.30131530761719,0.9213266372680664,0.029352609
300.0,280,368.21427009000007,657,184320,90,-10.693973782658578,0.0003,0.24794921875,890,0.5315407514572144,-0.008676677713810931,0.2,156.68247351646423,21.425479888916016,0.9227719306945801,0.038857136
300.0,280,368.75857773,665,186368,91,-10.68550592660904,0.0003,0.262060546875,900,0.5600110292434692,-0.006202019746706355,0.2,151.86840962469577,24.726144790649414,0.9194709658622742,0.03531567
300.0,280,368.71198888,672,188416,92,-10.661835077404977,0.0003,0.209765625,910,0.5209443867206573,-0.010780415454792091,0.2,158.85080389976503,47.200767517089844,0.9181823134422302,0.02470114
300.0,280,369.61907779999996,679,190464,93,-10.654764530062675,0.0003,0.225244140625,920,0.6221652626991272,-0.010480650008685189,0.2,116.78235878646373,132.8472900390625,0.9150888323783875,0.027613174
300.0,280,368.85360104999995,686,192512,94,-10.622218859195709,0.0003,0.258251953125,930,0.7961907386779785,-0.012002375583688264,0.2,127.427734041214,17.758655548095703,0.9124116897583008,0.038610917
300.0,280,367.14348355999994,693,194560,95,-10.590475603938103,0.0003,0.27373046875,940,0.620139867067337,-0.0065929931020946245,0.2,178.02855218052864,48.76280212402344,0.9088237285614014,0.040898137
300.0,280,366.25581212,700,196608,96,-10.584105333685875,0.0003,0.26845703125,950,0.5777799189090729,-0.011728095174476039,0.2,140.88763641119004,26.899126052856445,0.9086520075798035,0.040586814
300.0,280,362.25038703999996,708,198656,97,-10.578636786341667,0.0003,0.266162109375,960,0.3901517391204834,-0.0018339037691475824,0.2,156.5964307308197,115.70954895019531,0.9113990068435669,0.037552476
300.0,280,360.96239138,715,200704,98,-10.618832370638847,0.0003,0.16953125,970,0.7981801927089691,-0.006006290514051216,0.2,153.7442977130413,69.31005859375,0.9151478409767151,0.031850506
300.0,280,362.0367613,722,202752,99,-10.630900302529335,0.0003,0.272265625,980,0.24068140983581543,0.007046923994494136,0.2,171.1307887017727,102.03782653808594,0.913794755935669,0.051376127
300.0,280,361.31213940000004,730,204800,100,-10.61272036731243,0.0003,0.283056640625,990,0.6083593666553497,-0.003218526329146698,0.2,121.62416244745255,169.70472717285156,0.9118044376373291,0.040413905
300.0,280,362.50814847000004,737,206848,101,-10.610529592633247,0.0003,0.15185546875,1000,0.7262521982192993,-0.019179908496153076,0.2,147.14428133368492,26.81089210510254,0.9126142263412476,0.017572045
300.0,280,361.72735887999994,744,208896,102,-10.607659402489663,0.0003,0.353125,1010,0.5354347825050354,0.004604980621661525,0.2,141.36765491962433,18.064653396606445,0.913037121295929,0.038260356
300.0,280,365.17839277,752,210944,103,-10.604588866233826,0.0003,0.171044921875,1020,0.5961959064006805,-0.010622668695577885,0.2,165.80994758605956,21.58551788330078,0.9107009768486023,0.024009407
300.0,280,367.52974746000007,759,212992,104,-10.59482387304306,0.0003,0.231982421875,1030,0.5468043684959412,-0.011215230166271795,0.2,153.49148727059364,135.45094299316406,0.9117825627326965,0.024363268
300.0,280,364.02861529000006,766,215040,105,-10.616625973582268,0.0003,0.1619140625,1040,0.6059126555919647,-0.008386209540185518,0.2,130.87922432422639,47.9266471862793,0.9133052825927734,0.023029726
300.0,280,364.59577595999986,773,217088,106,-10.616228234767913,0.0003,0.21728515625,1050,0.8456908911466599,-0.020464981452823848,0.2,130.45629507303238,35.684505462646484,0.912893533706665,0.024104938
300.0,280,364.5196002199999,781,219136,107,-10.622478672862053,0.0003,0.167626953125,1060,0.5466633439064026,-0.012714739048533374,0.2,163.0509089589119,32.243900299072266,0.9146925806999207,0.01802535
300.0,280,364.85258931000004,788,221184,108,-10.618839639425278,0.0003,0.300341796875,1070,0.5562843382358551,-0.0007758542917144951,0.2,171.48787419199942,115.07476806640625,0.9112603664398193,0.05061937
300.0,280,367.53130531000005,795,223232,109,-10.604364281892776,0.0003,0.268359375,1080,0.3416072130203247,0.0011235569822019898,0.2,186.34298239946366,179.52410888671875,0.9123616218566895,0.03182141
300.0,280,367.32067863000003,803,225280,110,-10.608285102248193,0.0003,0.1541015625,1090,0.8309662640094757,-0.013380506666726433,0.2,159.11082260608674,21.23371124267578,0.9118547439575195,0.025296539
300.0,280,372.69616385,810,227328,111,-10.59870143532753,0.0003,0.26904296875,1100,0.6080638766288757,8.331545977853238e-05,0.2,160.36880720853804,69.94476318359375,0.910815954208374,0.03869632
300.0,280,375.41218117000005,817,229376,112,-10.602858972549438,0.0003,0.3109375,1110,0.5755108594894409,-0.006829583643411752,0.2,189.52164541482927,17.2899112701416,0.9120328426361084,0.041371472
300.0,280,375.58125959000006,824,231424,113,-10.590050229430199,0.0003,0.233642578125,1120,0.7138950824737549,-0.011994879668782233,0.2,158.36539715528488,105.45356750488281,0.9082955121994019,0.038305335
300.0,280,378.04667042999995,832,233472,114,-10.573825293779374,0.0003,0.2005859375,1130,0.42632412910461426,-0.00522517386416439,0.2,211.10563386678695,60.95245361328125,0.9079716205596924,0.024406515
300.0,280,377.94480053000007,839,235520,115,-10.580464825034142,0.0003,0.289599609375,1140,0.21311908960342407,-0.007425955354119651,0.2,182.48303946256638,55.69375228881836,0.9093016386032104,0.040808342
