rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/std
300.0,28672,107,267,440.42309221052636,14,-0.02908313274383545,0.0003,73480,349.3156170964241,0.2,-0.0065500177355716,0.025733016,0.153076171875,148.0589141845703,-27.723069971799852,10.824824333190918
300.0,30720,114,268,440.39862590999996,15,0.05241072177886963,0.0003,73490,336.8082362055778,0.2,-0.012151626456761733,0.04145019,0.162451171875,125.8333969116211,-27.739960128068923,10.81695556640625
300.0,32768,121,268,441.57288661000007,16,0.03819620609283447,0.0003,73500,352.07329246997836,0.2,-0.013868096811347642,0.036743447,0.124853515625,131.6208953857422,-27.73846572637558,10.83845329284668
300.0,34816,129,269,441.37511324,17,-0.05139791965484619,0.0003,73510,321.3898131608963,0.2,-0.008484568127460079,0.023077529,0.104541015625,218.55772399902344,-27.734928405284883,10.814695358276367
300.0,36864,136,269,437.99008229,18,0.054091453552246094,0.0003,73520,336.79702627658844,0.2,-0.00938255086512072,0.031836342,0.131494140625,191.35963439941406,-27.730795234441757,10.864148139953613
300.0,38912,144,269,438.45695264999995,19,0.7353477478027344,0.0003,73530,271.13346178531646,0.2,-0.015787461897707543,0.039795704,0.1103515625,247.63548278808594,-27.729639053344727,10.866262435913086
300.0,40960,151,270,438.59340306999997,20,-0.01931941509246826,0.0003,73540,344.07900140285494,0.2,-0.016660964969196355,0.042900935,0.14833984375,142.28146362304688,-27.716759264469147,10.818198204040527
300.0,43008,158,270,439.5642048099999,21,0.01186823844909668,0.0003,73550,338.2360470533371,0.2,-0.01121375242510112,0.03571741,0.11982421875,162.89749145507812,-27.698621255159377,10.78956127166748
300.0,45056,166,270,434.1794976299999,22,-0.02517521381378174,0.0003,73560,312.98221131563184,0.2,-0.014558259330806322,0.03867094,0.129931640625,144.8383026123047,-27.699332809448244,10.832916259765625
300.0,47104,173,271,434.17249670000007,23,0.8237670212984085,0.0003,73570,276.5647407889366,0.2,-0.012862196503556333,0.03556296,0.158447265625,166.2225799560547,-27.69763925075531,10.77681827545166
300.0,49152,180,271,434.3934614999999,24,0.1398981213569641,0.0003,73580,316.9598473548889,0.2,-0.008524482998473104,0.045574553,0.134423828125,93.56363677978516,-27.681232464313506,10.77233600616455
300.0,51200,188,271,434.33120569,25,0.05094647407531738,0.0003,73590,279.707636141777,0.2,-0.004763369221473112,0.04970759,0.1638671875,124.96932983398438,-27.65993190407753,10.757874488830566
300.0,53248,195,272,434.22990799,26,0.1273168921470642,0.0003,73600,318.6921690583229,0.2,-0.008292437510681339,0.05901341,0.169775390625,117.7833480834961,-27.66979373693466,10.789551734924316
300.0,55296,202,272,428.66494315000006,27,-0.03242075443267822,0.0003,73610,349.90479652881623,0.2,-0.0010701814564527013,0.046612956,0.143701171875,163.13449096679688,-27.716193360090255,10.874350547790527
300.0,57344,210,272,426.89377713999994,28,0.8224839270114899,0.0003,73620,279.6771984100342,0.2,-0.012896894007280935,0.028473422,0.115283203125,51.7966194152832,-27.76027485728264,10.892732620239258
300.0,59392,217,272,427.08313423000004,29,0.1518796682357788,0.0003,73630,325.7572003364563,0.2,-0.012284967447340023,0.025209468,0.114892578125,121.01026153564453,-27.75643807053566,10.896160125732422
300.0,61440,225,272,428.16034863,30,0.16872793436050415,0.0003,73640,259.55623664855955,0.2,-0.014775048762385268,0.034055013,0.1498046875,74.12870025634766,-27.77036824822426,10.893800735473633
300.0,63488,232,272,423.52299552,31,0.0077095627784729,0.0003,73650,321.47860193252563,0.2,-0.013580019294749945,0.031344905,0.152392578125,258.9363708496094,-27.783888697624207,10.867034912109375
300.0,65536,239,273,427.1247476299999,32,0.7401674389839172,0.0003,73660,264.69191762208936,0.2,0.0016717119957320391,0.07694564,0.194384765625,101.9006576538086,-27.772416067123412,10.799939155578613
300.0,67584,247,273,427.47103890999983,33,-0.0033648014068603516,0.0003,73670,326.5464203953743,0.2,-0.011906398464634548,0.025671082,0.095166015625,295.90496826171875,-27.739050620794295,10.77926254272461
300.0,69632,254,273,425.20247967,34,0.13514310121536255,0.0003,73680,305.62848819494246,0.2,-0.015562921170931077,0.023331111,0.105029296875,81.8340072631836,-27.716461062431335,10.708714485168457
300.0,71680,262,273,425.15422322000006,35,-0.047524094581604004,0.0003,73690,340.87433445453644,0.2,-0.012771421844809084,0.039674975,0.143115234375,95.7833480834961,-27.716984140872956,10.71906852722168
300.0,73728,269,273,425.32551168,36,0.5008147358894348,0.0003,73700,291.1006582379341,0.2,-0.016740738161752235,0.03409069,0.1423828125,104.84326934814453,-27.73280922174454,10.726558685302734
300.0,75776,276,273,432.41912863,37,0.21851617097854614,0.0003,73710,302.9015622258186,0.2,-0.013182838552165777,0.022475831,0.12626953125,66.6380386352539,-27.753863191604616,10.788434982299805
300.0,77824,284,273,427.56608106,38,0.12143474817276001,0.0003,73720,311.845305454731,0.2,-0.009718631969008129,0.048614115,0.141015625,124.79632568359375,-27.76188662648201,10.80236530303955
300.0,79872,291,274,427.5337037599999,39,0.8212939649820328,0.0003,73730,307.3491536617279,0.2,-0.008772736351238564,0.02917127,0.10234375,144.78652954101562,-27.765827929973604,10.790661811828613
300.0,81920,298,274,426.61789252999995,40,-0.01897752285003662,0.0003,73740,335.7709014892578,0.2,-0.0113599163654726,0.055035442,0.162255859375,125.03471374511719,-27.747334665060045,10.738168716430664
300.0,83968,306,274,430.53187097,41,-0.09856283664703369,0.0003,73750,323.29871730804444,0.2,-0.008926834585145116,0.045056347,0.127783203125,103.80955505371094,-27.745411783456802,10.730703353881836
300.0,86016,313,274,434.98341813999997,42,-0.017621397972106934,0.0003,73760,300.3499685168266,0.2,-0.013554511076654308,0.028553661,0.112646484375,95.32782745361328,-27.737104064226152,10.690889358520508
300.0,88064,320,274,435.70543938,43,0.04831409454345703,0.0003,73770,314.44893287420274,0.2,-0.008945685614889953,0.05685743,0.13974609375,44.090057373046875,-27.72026797533035,10.685758590698242
300.0,90112,328,274,435.57127651999997,44,-0.040486931800842285,0.0003,73780,349.44589253664014,0.2,-0.014293021996854805,0.037567705,0.16787109375,278.8216247558594,-27.735380387306215,10.725497245788574
300.0,92160,335,274,433.14783788999995,45,0.06848567724227905,0.0003,73790,334.39907690286634,0.2,-0.0009553894677083008,0.046223707,0.192724609375,182.3026580810547,-27.747502171993254,10.741232872009277
300.0,94208,343,274,432.9941039699999,46,0.8182609230279922,0.0003,73800,307.51956181526185,0.2,-0.01647121875139419,0.029582368,0.12724609375,148.7460174560547,-27.769171869754793,10.72956657409668
300.0,96256,350,274,434.24942194000005,47,0.8230495452880859,0.0003,73810,256.76892164945605,0.2,-0.015221057797316462,0.03951875,0.166552734375,127.61248779296875,-27.797157859802248,10.791535377502441
300.0,98304,357,274,435.26686819,48,-0.0592501163482666,0.0003,73820,290.1273603081703,0.2,-0.009515238409949233,0.02271574,0.11572265625,68.89266967773438,-27.82842865586281,10.751509666442871
300.0,100352,365,274,438.63466010999997,49,0.06197887659072876,0.0003,73830,345.86856801509856,0.2,-0.007754362915147794,0.03653144,0.122705078125,183.06387329101562,-27.822033536434173,10.777891159057617
